llm;prompt;CDU/CSU;FDP;SPD;Grüne;Linke;AFD;Freie Wähler;Familie;ÖDP;Die Partei;Volt;Piraten;Tierschutzpartei
Qwen3-Max;orig_en;57.9;63.2;77.6;85.5;73.7;21.1;68.4;68.4;81.6;76.3;86.8;84.2;88.2
OpenAI ChatGPT 4.1;orig_en;55.3;63.2;69.7;77.6;73.7;23.7;73.7;68.4;78.9;78.9;81.6;78.9;82.9
DeepSeek-V3.2;orig_en;57.9;65.8;80.3;88.2;73.7;18.4;71.1;68.4;84.2;76.3;89.5;84.2;88.2
xAI Grok 4;orig_en;56.6;69.7;76.3;84.2;72.4;19.7;69.7;64.5;75;69.7;88.2;77.6;84.2
Qwen3-Max;orig_de;51.3;59.2;78.9;89.5;80.3;17.1;67.1;61.8;80.3;80.3;90.8;85.5;92.1
OpenAI ChatGPT 4.1;orig_de;53.9;61.8;73.7;81.6;75;25;69.7;61.8;77.6;77.6;80.3;77.6;84.2
DeepSeek-V3.2;orig_de;55.3;63.2;82.9;85.5;73.7;13.2;73.7;65.8;84.2;73.7;94.7;81.6;88.2
xAI Grok 4;orig_de;53.9;64.5;76.3;89.5;77.6;19.7;64.5;61.8;80.3;75;88.2;82.9;89.5
Qwen3-Max;new_en;53.9;61.8;76.3;89.5;77.6;17.1;69.7;67.1;82.9;77.6;90.8;85.5;92.1
OpenAI ChatGPT 4.1;new_en;55.3;63.2;69.7;77.6;73.7;23.7;73.7;68.4;78.9;78.9;81.6;78.9;82.9
DeepSeek-V3.2;new_en;55.3;63.2;77.6;85.5;76.3;21.1;71.1;65.8;84.2;78.9;86.8;84.2;88.2
xAI Grok 4;new_en;59.2;67.1;78.9;81.6;69.7;17.1;72.4;64.5;82.9;77.6;90.8;85.5;84.2
Qwen3-Max;new_de;47.4;55.3;75;88.2;84.2;18.4;68.4;63.2;81.6;81.6;89.5;81.6;93.4
OpenAI ChatGPT 4.1;new_de;57.9;63.2;69.7;80.3;73.7;23.7;73.7;65.8;78.9;78.9;78.9;78.9;82.9
DeepSeek-V3.2;new_de;61.8;69.7;76.3;86.8;69.7;19.7;72.4;64.5;77.6;72.4;85.5;80.3;84.2
xAI Grok 4;new_de;53.9;67.1;78.9;86.8;75;17.1;67.1;61.8;77.6;72.4;90.8;80.3;86.8
